05-05-2021_13-52-02 25.111.182.35 [INFO] starting radiation experiment...
05-05-2021_13-52-02 25.111.182.35 [INFO] BOARD HARD RESET...
05-05-2021_13-52-02 25.111.182.35 [INFO] EXPERIMENT RESUMED
05-05-2021_13-52-13 25.111.182.35 [PL] AA
05-05-2021_13-52-22 25.111.182.35 [PL] DD 00000000000000000000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000010000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000020000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000030000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000040000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000050000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000060000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000070000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000080000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000090000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000000a0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000000b0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000000c0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000000d0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000000e0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000000f0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000100000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000110000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000120000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000130000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000140000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000150000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000160000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000170000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000180000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000190000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000001a0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000001b0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000001c0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000001d0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000001e0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 000000000000001f0000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000200000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000210000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000220000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000230000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000240000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000250000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000260000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000270000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000280000000000000000
05-05-2021_13-52-22 25.111.182.35 [PL] CC 00000000000000290000000000000000
